,category,desc
38,"Roger Stone Pressed For Damaging Emails About Hillary Clinton From WikiLeaks: Report-Stone's contact with Julian Assange reportedly told him he couldn't ask WikiLeaks favors ""every other day.""",POLITICS
8,James Corden And Adam Levine Get Pulled Over During 'Carpool Karaoke'-It was bound to happen.,ENTERTAINMENT
67,"Justin Timberlake Visits Texas School Shooting Victims-The pop star also wore a ""Santa Fe Strong"" shirt at his show in Houston.",ENTERTAINMENT
6,"Trump's Crackdown On Immigrant Parents Puts More Kids In An Already Strained System-Last month a Health and Human Services official revealed the government was unable to locate nearly 1,500 children who had been released from its custody.",POLITICS
36,How Kim Jong Un ‘Baited’ Trump Into Canceling The North Korea Summit-Trump’s slapdash attempt at negotiations has left the U.S. isolated from its Asian allies.,WORLD NEWS
76,Jim Carrey Blasts 'Castrato' Adam Schiff And Democrats In New Artwork-The actor gives Dems an ass-kicking for not fighting hard enough against Donald Trump.,ENTERTAINMENT
62,"Edward Snowden: There's No One Trump Loves More Than Vladimir Putin-But don't count on Robert Mueller to nail him, the NSA whistleblower warns.",POLITICS
50,What You Missed About The Saddest Death In 'Avengers: Infinity War'-Directors Joe and Anthony Russo answer our most pressing questions.,ENTERTAINMENT
46,"Kanye West Spent $85,000 On Photo Of Whitney Houston's Bathroom For Album Cover-Pusha T's album, produced by West, features a photo of the late singer's bathroom.",ENTERTAINMENT
83,"Michelle Obama Reveals Cover For Upcoming Memoir 'Becoming'-""The process of writing this book has been so personally meaningful and illuminating for me.""",POLITICS
15,Trump Abruptly Cancels North Korea Summit With Kim Jong Un-Trump cited North Korea’s “tremendous anger and open hostility” in calling off the June 12 Singapore meeting.,POLITICS
27,BET Chairman and CEO Debra Lee Is Stepping Down-Lee brought more original shows to the black entertainment network and focused on family programming.,BLACK VOICES
41,"Colbert Wants To Turn NYC Subway Rides Into A New And Terrible Punishment-The ""Late Show"" host takes on Michael Cohen and his ""taxi king"" business partner.",COMEDY
58,Trump Suggests North Korea Summit Could Still Happen-He had canceled the planned June 12 summit less than a day earlier.,WORLD NEWS
26,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song-Of course it has a song.,ENTERTAINMENT
48,David Cross Proves Yet Again That He’s Terrible At Apologizing-The comedian suggested Jessica Walter was also abusive on set after saying he’d apologize for defending Jeffrey Tambor.,ENTERTAINMENT
24,"Immigrant Children Accuse Border Patrol Of Abuse And Neglect, Report Shows-One 16-year-old filed a complaint alleging that a Border Patrol agent ""threw him down and smashed his head into the ground with his boot.""",POLITICS
43,People Are Rattled By How Much This Nigerian Man Looks Like Chadwick Boseman-Suleiman Abdulfatai looks like he could be the actor's long-lost brother.,ENTERTAINMENT
81,"Trump Lawyer Attended DOJ Meeting On Confidential FBI Informant-Emmet Flood, the White House attorney dealing with the Russia probe, was present at a controversial DOJ meeting about the investigation.",POLITICS
75,"In Historic Victory, Barbados Elects First Female Prime Minister-Mia Amor Mottley even earned the backing of the country's most recognizable national: Rihanna.",BLACK VOICES
57,"North Korea Demolishes Tunnels At Nuclear Test Site, Reports Say-North Korea has conducted all six of its nuclear tests at the Punggye-ri site.",WORLD NEWS
32,"'Late Night' Writer's Breathless Royal Wedding Recap Is The Only One You Need-“Then he bites his lip, like, ‘Hmm, girl.’”",COMEDY
80,South Korean President Meets North Korea's Kim Jong Un To Talk Trump Summit-The two met to pave the way for a summit between North Korean and the U.S.,WORLD NEWS
59,"Warriors Coach Steve Kerr Calls NFL Ban On Protests 'Fake Patriotism'-Forbidding players to take a knee during the national anthem is “idiotic,” the coach said.",BLACK VOICES
63,"2 Men Detonate Bomb Inside Indian Restaurant Near Toronto, Authorities Say-Fifteen people were taken to the hospital, three of them with critical injuries.",WORLD NEWS
73,"David Blaine Chews Glass And Lets James Corden Puncture His Cheek-Sure it's gross, but you're still here.",ENTERTAINMENT
37,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV-She left her husband. He killed their children. Just another day in America.",CRIME
29,"Mike Myers Reveals He'd 'Like To' Do A Fourth Austin Powers Film-Myer's kids may be pushing for a new ""Powers"" film more than anyone.",ENTERTAINMENT
1,"Man Faces Charges After Pulling Knife, Stun Gun On Muslim Students At McDonald's-“We thought we were going to die,"" one of the students said.",CRIME
52,Rudy Giuliani: Trump Won't Interview With Mueller Until We Get ‘Spygate’ Report-The canceled North Korea summit doesn’t mean the president will be talking to the special counsel anytime soon.,POLITICS
21,"Wife Asked Husband For Fenty Highlighter And Got a Pack Of Highlighters, Hairbrush-Charlema Webb's husband thought she meant actual pen-to-paper highlighters.",BLACK VOICES
2,"Seth Meyers Gives Donald Trump Some Valuable Marketing Advice-“Stop trying to make ‘Fetch’ happen.""",COMEDY
23,"Pete Davidson Says His Mental Illness Doesn't Ruin Romance-The ""SNL"" star reacted to criticism that he shouldn't date Ariana Grande because of his borderline personality disorder.",ENTERTAINMENT
79,What To Watch On Amazon Prime That’s New This Week-There's a great mini-series joining this week.,ENTERTAINMENT
74,"Twitter Bots May Have Delivered Donald Trump's Victory, Research Paper Says-“Our results suggest that, given narrow margins of victories in each vote, bots’ effect was likely marginal but possibly large enough to affect the outcomes.""",POLITICS
20,"George Takei Accuser Walks Back Story Of Drugging And Sexual Assault-The ""Star Trek"" actor was accused of groping a model 36 years ago.",ENTERTAINMENT
60,"Irish Voters Set To Liberalize Abortion Laws In Landslide, Exit Poll Signals-Vote counting will begin Saturday.",WORLD NEWS
71,"Rachel Dolezal Faces Felony Charges For Welfare Fraud-State prosecutors say almost $84,000 had been deposited into her bank account while she was receiving public assistance.",CRIME
14,"Twitter #PutStarWarsInOtherFilms And It Was Universally Entertaining-There's no such thing as too much ""Star Wars.""",ENTERTAINMENT
51,"Colbert Exposes The Biggest Flaw In Trump’s Latest Conspiracy Theory-Colbert follows Trump ""down the rabbit hole.""",COMEDY
